year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"New York, NY","16000US3651000","Education of Individuals in Early Childhood Special Education Programs","131015","Master's Degree","7",567
2013,"New York, NY","16000US3651000","Education of Individuals in Early Childhood Special Education Programs","131015","Master's Degree","7",653
2014,"New York, NY","16000US3651000","Education of Individuals in Early Childhood Special Education Programs","131015","Master's Degree","7",776
2015,"New York, NY","16000US3651000","Education of Individuals in Elementary Special Education Programs","131017","Master's Degree","7",670
2013,"New York, NY","16000US3651000","Education of Individuals in Elementary Special Education Programs","131017","Master's Degree","7",397
2014,"New York, NY","16000US3651000","Education of Individuals in Elementary Special Education Programs","131017","Master's Degree","7",1189
2015,"New York, NY","16000US3651000","Education of Individuals in Middle School Special Education Programs","131018","Master's Degree","7",126
2013,"New York, NY","16000US3651000","Education of Individuals in Middle School Special Education Programs","131018","Master's Degree","7",203
2014,"New York, NY","16000US3651000","Education of Individuals in Middle School Special Education Programs","131018","Master's Degree","7",242
2015,"New York, NY","16000US3651000","Education of Individuals in Secondary Special Education Programs","131019","Master's Degree","7",391
2013,"New York, NY","16000US3651000","Education of Individuals in Secondary Special Education Programs","131019","Master's Degree","7",202
2014,"New York, NY","16000US3651000","Education of Individuals in Secondary Special Education Programs","131019","Master's Degree","7",268
2015,"New York, NY","16000US3651000","Other Special Education & Teaching","131099","Master's Degree","7",68
2014,"New York, NY","16000US3651000","Other Special Education & Teaching","131099","Master's Degree","7",68
2015,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Master's Degree","7",321
2013,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Master's Degree","7",408
2014,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Master's Degree","7",329
2015,"New York, NY","16000US3651000","Other Student Counseling & Personal Services","131199","Master's Degree","7",10
2014,"New York, NY","16000US3651000","Other Student Counseling & Personal Services","131199","Master's Degree","7",25
2015,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Master's Degree","7",12
2013,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Master's Degree","7",6
2014,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Master's Degree","7",9
2015,"New York, NY","16000US3651000","Elementary Education & Teaching","131202","Master's Degree","7",536
2013,"New York, NY","16000US3651000","Elementary Education & Teaching","131202","Master's Degree","7",896
2014,"New York, NY","16000US3651000","Elementary Education & Teaching","131202","Master's Degree","7",724
2015,"New York, NY","16000US3651000","Middle School Education & Teaching","131203","Master's Degree","7",22
2013,"New York, NY","16000US3651000","Middle School Education & Teaching","131203","Master's Degree","7",34
2014,"New York, NY","16000US3651000","Middle School Education & Teaching","131203","Master's Degree","7",43
2015,"New York, NY","16000US3651000","Secondary Education & Teaching","131205","Master's Degree","7",94
2013,"New York, NY","16000US3651000","Secondary Education & Teaching","131205","Master's Degree","7",182
2014,"New York, NY","16000US3651000","Secondary Education & Teaching","131205","Master's Degree","7",157
2015,"New York, NY","16000US3651000","Teacher Education","131206","Master's Degree","7",701
2013,"New York, NY","16000US3651000","Teacher Education","131206","Master's Degree","7",58
2014,"New York, NY","16000US3651000","Teacher Education","131206","Master's Degree","7",1
2015,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Master's Degree","7",235
2013,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Master's Degree","7",299
2014,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Master's Degree","7",330
2015,"New York, NY","16000US3651000","Art Teacher Education","131302","Master's Degree","7",108
2013,"New York, NY","16000US3651000","Art Teacher Education","131302","Master's Degree","7",129
2014,"New York, NY","16000US3651000","Art Teacher Education","131302","Master's Degree","7",98
2015,"New York, NY","16000US3651000","Business Teacher Education","131303","Master's Degree","7",9
2013,"New York, NY","16000US3651000","Business Teacher Education","131303","Master's Degree","7",6
2014,"New York, NY","16000US3651000","Business Teacher Education","131303","Master's Degree","7",10
2015,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Master's Degree","7",249
2013,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Master's Degree","7",238
2014,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Master's Degree","7",233
2015,"New York, NY","16000US3651000","Foreign Language Teacher Education","131306","Master's Degree","7",8
2013,"New York, NY","16000US3651000","Foreign Language Teacher Education","131306","Master's Degree","7",9
