year,geo_name,geo,university_name,university,grads_total
2015,"New York, NY","16000US3651000","American Academy McAllister Institute of Funeral Service","188687",139
2015,"New York, NY","16000US3651000","Joffrey Ballet School","188696",4
2015,"New York, NY","16000US3651000","American Musical and Dramatic Academy","188854",532
2015,"New York, NY","16000US3651000","Apex Technical School","188890",913
2015,"New York, NY","16000US3651000","Associated Beth Rivkah Schools","188942",118
2015,"New York, NY","16000US3651000","Bank Street College of Education","189015",295
2015,"New York, NY","16000US3651000","Barnard College","189097",749
2015,"New York, NY","16000US3651000","Berk Trade and Business School","189219",223
2015,"New York, NY","16000US3651000","Berkeley College-New York","189228",1089
2015,"New York, NY","16000US3651000","Beth Hatalmud Rabbinical College","189264",3
2015,"New York, NY","16000US3651000","Beth Hamedrash Shaarei Yosher Institute","189273",6
2015,"New York, NY","16000US3651000","Phillips Beth Israel School of Nursing","189282",109
2015,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-Brooklyn","189404",103
2015,"New York, NY","16000US3651000","Boricua College","189413",333
2015,"New York, NY","16000US3651000","Bramson ORT College","189422",218
2015,"New York, NY","16000US3651000","American Beauty School","189477",105
2015,"New York, NY","16000US3651000","Brooklyn Law School","189501",355
2015,"New York, NY","16000US3651000","St Paul's School of Nursing-Queens","189811",207
2015,"New York, NY","16000US3651000","Central Yeshiva Tomchei Tmimim Lubavitz","189857",135
